基金代碼,名稱,ISIN Code,類型(核心/衛星/ETF),風險等級,預設描述,近一年績效(%),近二年績效(%),近三年績效(%)
97978047,"PGIM保德信貨幣市場基金",TW000T0805Y9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
C0109004,"PGIM美國公司債基金T美元累積",IE00BDZVHR40,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
92017204,"元大得利貨幣市場基金",TW000T0569Y1,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
98639616,"PGIM保德信美國投資級企業債",TW000T0842A2,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
98641524,"華南永昌全球投資等級債券",TW000T1286A1,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
C0054057,"法盛盧米斯賽勒斯投資級債",LU0411266801,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
00713,"元大台灣高息低波",TW0000071303,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
98638122,"PGIM保德信多元收益組合基金",TW000T0837B0,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
98642423,"中國信託策略優利多重資產",TW000T2629B9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
11: 98641177,"PGIM保德信全球生態友善ESG",TW000T0848B7,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
12: 98638532,"元大亞太優質高股息100指數",TW000T05A7B4,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
13: 98637275,"台新北美收益資產證券化基金",TW000T4717B0,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
14: 98639936,"中國信託亞太實質收息多重",TW000T2683B6,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
15: 00646,"元大S&P500",TW0000064605,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
16: 01032183,"PGIM保德信高成長基金",TW000T0802Y6,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
17: C0109006,"PGIM JENNISON全球股票機會",IE00BGJVXP15,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
18: 98639403,"元大台灣卓越50ETF連結基金",TW000T05B2A6,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
19: 98642116,"中國信託美國聚焦成長基金",TW000T2628A3,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
20: 01031699,"統一全天候基金-A類型",TW000T0902Y4,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
21: 98641594,"中國信託成長轉機多重資產",TW000T2625A9,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
22: 009803,"保德信市值動能50",TW0000098033,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
23: 73990649,"PGIM保德信科技島基金",TW000T0808Y3,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
24: C0109015,"PGIM Jennison美國成長基金",IE00BYWYQY37,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
25: 81584335,"元大高科技基金",TW000T0508Y9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
26: 98642010,"台新美日台半導體基金",TW000T4775A0,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
27: C0115024,"法盛AI及機器人基金",LU1923623000,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
28: 98638079,"統一全球新科技基金",TW000T0933A9,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
29: 0050,"元大台灣50",TW0000050000,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
30: 98641176,"PGIM全球生態友善ESG多重",TW000T0848A9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
31: 98641767,"元大臺灣ESG永續ETF連結",TW000T05C3A3,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
32: 98641425,"中國信託ESG金融收益多重",TW000T2623A4,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
33: 98640652,"台新ESG環保愛地球成長基金",TW000T4769A3,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
34: C0115029,"法盛Mirova全球永續股票",LU1623119135,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
35: 98641053,"中國信託ESG碳商機多重",TW000T2622A6,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
36: 00850,"元大臺灣ESG永續",TW0000085006,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
37: 98640605,"PGIM美元非投資等級債券",TW000T0845C1,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
38: C0109011,"PGIM美國全方位非投等債",IE00BN47NK81,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
39: 98639310,"台新優先順位資產抵押非投等",TW000T4761B8,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
40: 98639036,"PGIM保德信印度機會債券基金",TW000T0841B2,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
41: 98637868,"統一亞洲非投資等級債券基金",TW000T0932B9,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
42: 98641204,"台新美國策略時機非投等債",TW000T4772B5,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
43: 0056,"元大高股息",TW0000056007,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
44: 73998065,"PGIM保德信大中華基金",TW000T0809Y1,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
45: 98637127,"PGIM保德信中國品牌基金",TW000T0832Y3,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
46: 98637551,"統一大龍騰中國基金",TW000T0931Y3,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
47: 98637537,"PGIM保德信中國中小基金",TW000T0836Y4,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
48: 98637078,"統一大中華中小基金",TW000T0924Y8,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
49: 98637071,"台新中國精選中小基金",TW000T4711Y5,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
50: 0061,"元大寶滬深",TW0000061007,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
51: C0054008,"法盛漢瑞斯全球股票基金",LU0130103400,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
52: 92029139,"PGIM保德信亞太基金",TW000T0804Y2,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
53: 98641172,"元大全球優質龍頭平衡基金",TW000T05B6A7,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
54: 98640076,"中國信託越南機會基金",TW000T2691A1,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
55: 986371051,"PGIM保德信拉丁美洲基金",TW000T0830Y7,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
56: 98641587,"元大日本龍頭企業基金",TW000T05C1A7,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
57: 009810,"保德信全球跨國藍籌100",TW0000098108,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
58: 83866508,"PGIM保德信中小型股基金",TW000T0810Y9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
59: 97988636,"PGIM保德信店頭市場基金",TW000T0806Y7,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
60: 97977878,"統一中小基金",TW000T0906Y5,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
61: 98636611,"PGIM保德信全球中小基金",TW000T0817Y4,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
62: 17605622,"統一大滿貫基金-A類型",TW000T0911Y5,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
63: C0054121,"法盛-盧米斯賽勒斯債券基金",IE000D6HVBY0,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
64: 006201,"元大富櫃50",TW0000062013,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
65: 98638350,"PGIM保德信策略成長ETF組合",TW000T0839A8,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
66: 98636726,"元大全球ETF穩健組合基金",TW000T0575Y8,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
67: 98638113,"台新全球多元資產組合基金",TW000T4753A7,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
68: 98641041,"PGIM保德信全球新供應鏈基金",TW000T0847A1,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
69: 98636878,"元大全球地產建設入息基金",TW000T0542A8,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
70: 98638435,"華南永昌ShillerUSCAPEETF",TW000T1259A8,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
71: 00910,"第一金太空衛星",,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
